Run	φ	Δφ	κ1	Δκ1	κ2	Δκ2	x	Δx	y	Δy	z	Δz
169	0.04383	0.01502	-0.123133080E-02	0.10991E-09	0.456098188E-02	0.96529E-09	6.35386	1.54430	0.02946	0.02611	0.05104	0.79801
170	0.10438	0.01585	-0.103427307E-02	0.67862E-09	0.114817005E-01	0.15558E-08	42.58493	0.62414	-3.81431	0.07023	-0.93581	0.78653
171	0.02969	0.07589	-0.132229447E-02	0.15133E-07	0.416823477E-02	0.13389E-07	69.01225	7.69219	-0.49827	0.08918	4.41316	1.21588
172	0.08996	0.03261	-0.111640559E-02	0.16139E-08	0.640009716E-02	0.70393E-08	43.44450	2.25960	0.14253	0.05893	1.72529	1.22337
173	0.04370	0.01987	-0.122062478E-02	0.11076E-09	0.495869480E-02	0.26108E-08	5.99157	1.88419	0.03305	0.03938	-0.02775	0.85112
174	0.10892	0.01995	0.701998640E-02	0.88222E-09	-0.105398730E-02	0.42926E-08	50.93248	1.00424	-0.52393	0.09008	-1.17386	0.97268
175	0.12282	0.02660	-0.107032596E-02	0.16119E-08	0.717661623E-02	0.52057E-08	41.06110	1.61993	0.05726	0.06219	-0.63989	1.27206
176	0.05309	0.03392	-0.108670432E-02	0.43608E-08	0.663482677E-02	0.28628E-08	63.61845	2.21665	0.80129	0.04659	-7.09555	0.89134
177	0.04956	0.01399	-0.121924328E-02	0.34987E-09	0.500838086E-02	0.10677E-08	33.49868	1.24317	-0.99993	0.04155	-0.18763	0.78695
178	0.22171	0.00495	-0.108918012E-02	0.10372E-09	0.955323689E-02	0.57862E-09	4.89613	0.21286	-0.43297	0.03999	-0.02071	0.74800
179	0.07103	0.01078	-0.117938896E-02	0.67871E-09	0.489673391E-02	0.48675E-09	34.63961	0.91035	-2.11803	0.08431	2.50157	0.86512
180	0.10260	0.01662	-0.111134129E-02	0.71565E-09	0.412030891E-02	0.25268E-08	23.93405	1.64930	1.35996	0.07587	-2.24350	1.25329
181	0.09608	0.01102	-0.106166326E-02	0.18279E-09	0.110063404E-01	0.15959E-08	20.25299	0.46001	-1.50844	0.05152	0.14478	0.74202
182	0.09089	0.01703	-0.111694925E-02	0.16363E-08	0.682055624E-02	0.21068E-08	49.35522	0.99790	4.56210	0.09237	-0.26419	0.91468
183	0.09734	0.01601	-0.114917418E-02	0.16270E-08	0.673042331E-02	0.22071E-08	50.88932	0.90820	5.60877	0.10218	1.72205	0.88306
184	0.10323	0.02904	-0.103383325E-02	0.16132E-08	0.105760293E-01	0.63260E-08	48.11733	1.25401	-0.50189	0.04713	-1.81991	0.99370
185	0.04972	0.01577	-0.111091789E-02	0.17418E-09	0.673632836E-02	0.86541E-09	13.45585	1.11406	-1.22583	0.12422	0.16465	0.81506
186	0.12144	0.00914	-0.108801550E-02	0.32974E-09	0.852829963E-02	0.56926E-09	25.44348	0.47096	-2.35884	0.06708	0.05790	0.82142
187	0.09056	0.04945	-0.103324174E-02	0.15198E-07	0.586476317E-02	0.95900E-08	58.85291	3.23124	0.67123	0.13308	-1.50368	1.58397
188	0.06216	0.01591	-0.121167779E-02	0.19392E-09	0.506128604E-02	0.24181E-08	15.59915	1.41784	0.44346	0.05590	1.44372	0.88647
189	0.08124	0.00845	-0.122463191E-02	0.11054E-09	0.474735955E-02	0.10595E-08	8.44067	0.77492	-0.01911	0.02404	1.08608	0.77448
190	0.05231	0.05430	-0.111276470E-02	0.43777E-08	0.852219854E-02	0.49714E-08	56.64263	3.00910	4.41410	0.23899	2.75989	1.15047
191	0.09179	0.03943	0.449500093E-02	0.11802E-08	-0.110336323E-02	0.15087E-07	45.34922	3.20634	1.46326	0.17896	2.18626	1.22831
192	0.11150	0.02573	-0.109016872E-02	0.16280E-08	0.103931166E-01	0.28833E-08	52.56786	1.12897	0.27272	0.03509	-6.08056	0.98231
193	0.08279	0.02150	-0.110968470E-02	0.16100E-08	0.793378241E-02	0.13244E-08	42.65283	1.22107	0.05282	0.05390	1.16951	1.04608
194	0.06129	0.02933	-0.106616784E-02	0.33109E-09	0.104606105E-01	0.55170E-08	22.95250	1.34103	-1.74796	0.12357	-0.82118	0.95589
195	0.09070	0.02603	-0.118342089E-02	0.35838E-09	0.644314988E-02	0.60475E-08	30.83747	1.81168	0.33525	0.05553	0.39870	0.93973
196	0.05256	0.01888	-0.117176748E-02	0.68670E-09	0.534938416E-02	0.87607E-09	28.90814	1.62884	-0.93217	0.09189	0.01466	1.00171
197	0.11761	0.01881	-0.110994326E-02	0.72500E-09	0.979040936E-02	0.80318E-08	42.97583	0.80375	4.25942	0.08525	-2.68955	0.82061
198	0.05785	0.02306	0.439277384E-02	0.12549E-08	-0.115764386E-02	0.42893E-08	49.03091	1.98623	0.29340	0.08106	0.47493	1.02960
199	0.08940	0.01674	-0.110830821E-02	0.71158E-09	0.703375973E-02	0.15478E-08	28.25074	1.07818	0.32348	0.04932	-2.68620	1.06260
200	0.12407	0.02165	-0.109024928E-02	0.71635E-09	0.732174469E-02	0.45755E-08	30.20572	1.30798	0.48682	0.05452	0.09245	1.16941
201	0.05709	0.04572	-0.121263927E-02	0.43409E-08	0.444539497E-02	0.11129E-07	57.52973	4.27900	0.79836	0.10922	-0.91632	1.25087
202	0.06406	0.02399	-0.125044992E-02	0.43626E-08	0.433157058E-02	0.27732E-08	55.13527	1.93976	5.81738	0.19714	-2.22770	1.11224
203	0.06782	0.02603	-0.112306676E-02	0.15735E-08	0.800148305E-02	0.14455E-08	42.65454	1.50851	-1.51513	0.09039	-2.94334	1.04900
204	0.06817	0.00973	-0.121030805E-02	0.67358E-09	0.513815088E-02	0.55041E-09	41.73946	0.73641	-3.66725	0.07813	-3.36723	0.75917
205	0.07866	0.02359	-0.112022867E-02	0.36226E-09	0.629898347E-02	0.62114E-08	23.75856	1.67548	1.54402	0.11721	-0.56093	1.02163
206	0.08439	0.02562	0.867332797E-02	0.17029E-08	-0.852742232E-02	0.19142E-08	40.67467	1.01286	0.54070	0.04291	-1.14760	0.89615
207	0.16660	0.00665	-0.106248190E-02	0.10798E-09	0.102653038E-01	0.20216E-08	7.46714	0.26945	-0.37316	0.03393	-1.03342	0.74763
208	0.05349	0.04711	-0.109819206E-02	0.16127E-08	0.941620581E-02	0.57543E-08	46.10985	2.40803	-0.01186	0.04724	4.75577	1.07075
209	0.09212	0.01785	-0.112126558E-02	0.19693E-09	0.799029507E-02	0.33113E-08	14.00524	1.04012	0.86796	0.07348	-0.41884	0.93627
210	0.10721	0.05007	0.101492172E-01	0.66968E-08	-0.103595247E-02	0.14982E-07	67.82967	1.95935	-2.68624	0.13357	6.32690	1.21361
211	0.98899	0.00388	-0.107192097E-02	0.19492E-09	0.114103286E-01	0.72486E-09	55.72349	0.04317	0.08934	0.01488	-0.50316	0.48443
212	0.14925	0.00775	-0.103607622E-02	0.20526E-09	0.631851796E-02	0.26878E-08	2.27463	0.51131	0.76876	0.03796	0.53544	1.16012
213	0.07115	0.01222	-0.118797901E-02	0.34131E-09	0.517796446E-02	0.99910E-09	19.28611	1.05338	-0.61654	0.06324	-1.13795	0.93158
214	0.10116	0.01648	-0.107987784E-02	0.19087E-09	0.109128701E-01	0.33147E-08	21.32136	0.70416	-0.55065	0.03129	-0.40706	0.82230
215	0.05177	0.01290	-0.117098936E-02	0.10616E-09	0.576101849E-02	0.94801E-09	11.17424	1.05150	-0.63974	0.06525	0.41446	0.74013
216	0.02897	0.08011	-0.107467524E-02	0.43687E-08	0.131490082E-01	0.17010E-08	62.82481	2.98387	1.45009	0.07032	0.83207	0.92298
217	0.06279	0.01407	0.526909018E-02	0.47559E-09	-0.117094943E-02	0.16081E-08	44.40190	1.05898	0.02052	0.04734	0.50535	0.81603
218	0.04742	0.03494	-0.114657183E-02	0.43022E-08	0.582920853E-02	0.30682E-08	59.81783	2.60043	-0.85339	0.06741	1.75577	0.98499
219	0.07262	0.02804	-0.109569496E-02	0.71371E-09	0.905602798E-02	0.50036E-08	31.77085	1.45839	0.27807	0.04478	1.13854	1.05424
220	0.04333	0.06997	-0.117786916E-02	0.43530E-08	0.612093974E-02	0.87788E-08	62.05563	5.37028	0.72907	0.11117	-0.27352	1.13547
221	0.08848	0.02771	0.541371014E-02	0.43740E-09	-0.114444026E-02	0.43025E-08	33.09287	2.22788	1.35655	0.08145	-0.22912	0.93246
222	0.06876	0.00972	-0.121892558E-02	0.19127E-09	0.470672967E-02	0.10988E-08	21.10841	0.87976	-0.17956	0.02463	-2.23374	0.78218
223	0.10453	0.00742	-0.113814475E-02	0.18829E-09	0.638851058E-02	0.98599E-09	15.78412	0.49025	-0.44370	0.03719	-0.34767	0.78624
224	0.06649	0.00590	-0.122520502E-02	0.10123E-09	0.453165034E-02	0.27232E-09	8.61606	0.57775	-0.75824	0.06537	0.08108	0.67530
225	0.05693	0.01891	-0.119303109E-02	0.35770E-09	0.488069095E-02	0.24284E-08	25.17317	1.73868	0.77454	0.06311	-0.87156	0.95365
226	0.08524	0.01140	-0.119931577E-02	0.18952E-09	0.408594031E-02	0.92627E-09	6.23448	1.23960	0.33017	0.04257	0.82203	0.97886
227	0.04998	0.01658	-0.119269441E-02	0.16394E-08	0.434581749E-02	0.10313E-08	47.05568	1.51698	3.50954	0.09865	-1.11395	0.92239
228	0.08265	0.01514	-0.109113764E-02	0.34183E-09	0.848161615E-02	0.16749E-08	23.42565	0.82681	-1.05907	0.06459	-1.18293	0.89816
229	0.06824	0.04898	-0.101349212E-02	0.42998E-08	0.100061446E-01	0.48287E-08	55.81469	2.29781	-0.66119	0.08143	2.03006	1.15119
230	0.09030	0.00499	-0.125908083E-02	0.10247E-09	0.442796713E-02	0.26641E-09	5.49834	0.48235	-0.44153	0.05142	0.70988	0.70753
231	0.06531	0.01180	-0.122256030E-02	0.72624E-09	0.423292629E-02	0.10288E-08	33.40164	1.10893	2.46509	0.07226	2.38617	0.92928
232	0.00492	0.19593	-0.128682412E-02	0.43716E-08	0.465761777E-02	0.30152E-08	61.03891	20.17204	3.17193	1.08305	-3.19472	1.22926
233	0.03978	0.08123	-0.103773526E-02	0.15346E-07	0.594721828E-02	0.10709E-07	70.81587	6.14660	4.04160	0.33895	-2.57167	1.17790
234	0.09263	0.02784	-0.110346335E-02	0.70174E-09	0.807591435E-02	0.55112E-08	35.99435	1.58636	-1.16201	0.06021	3.71313	1.05622
235	0.05531	0.04064	0.439833570E-02	0.37302E-08	-0.121178001E-02	0.15050E-07	61.19837	3.12493	-0.43357	0.13454	-0.63992	1.14581
236	0.04687	0.01723	0.441463850E-02	0.13491E-08	-0.123089540E-02	0.15588E-08	49.29486	1.55161	-2.74554	0.10306	-1.99963	0.88338
237	0.07981	0.01490	-0.119967433E-02	0.11118E-09	0.469755149E-02	0.23184E-08	-2.20794	1.45622	0.04181	0.06143	-0.42103	0.93749
238	0.11111	0.03126	-0.111316505E-02	0.16270E-08	0.898912642E-02	0.73522E-08	55.89780	1.56477	-0.14316	0.03016	0.63165	0.91261
239	0.04156	0.02872	-0.114244060E-02	0.71184E-09	0.764056435E-02	0.17038E-08	35.76480	1.80502	0.00461	0.03644	-0.19232	0.91940
240	0.17138	0.00482	-0.114191952E-02	0.11274E-09	0.652685435E-02	0.99057E-09	5.11151	0.28417	0.11001	0.02459	-0.31131	0.75661
241	0.04048	0.02522	-0.112226978E-02	0.18253E-09	0.714101642E-02	0.19865E-08	10.34288	1.71078	-0.45465	0.09552	0.25209	0.89892
242	0.03047	0.07597	-0.120742666E-02	0.43491E-08	0.471815886E-02	0.12666E-07	68.36035	7.38359	-0.02335	0.04284	-4.16941	0.93208
243	0.07214	0.00898	-0.120411057E-02	0.72078E-09	0.493413769E-02	0.47603E-09	42.09044	0.67554	0.63345	0.02396	0.59590	0.75078
244	0.05439	0.02144	-0.104568701E-02	0.10972E-09	0.134656411E-01	0.17331E-08	6.05568	0.78370	-0.11020	0.03863	-0.68889	0.77948
245	0.07042	0.03057	-0.110835244E-02	0.72355E-09	0.889096968E-02	0.35365E-08	40.24592	1.63891	1.26506	0.06506	0.87238	1.07220
246	0.03373	0.02077	-0.123605668E-02	0.34466E-09	0.472738221E-02	0.10299E-08	20.99930	2.06240	-0.32522	0.05501	0.65750	0.90707
247	0.06287	0.02347	-0.104426849E-02	0.18459E-09	0.115972832E-01	0.18452E-08	10.55301	0.98867	-0.37918	0.06955	-0.39345	0.91304
248	0.13468	0.00788	-0.105500873E-02	0.35973E-09	0.503598712E-02	0.10387E-08	11.01917	0.63617	1.15268	0.04731	0.65494	1.13183
249	0.03960	0.01424	-0.113691832E-02	0.10952E-09	0.639528967E-02	0.89628E-09	7.62140	1.07206	-0.09822	0.03523	-0.27943	0.72389
250	0.15130	0.00679	-0.104169641E-02	0.20412E-09	0.561100058E-02	0.82783E-09	-0.22571	0.52576	0.71965	0.03929	-0.31550	1.14108
251	0.04687	0.01742	-0.111493957E-02	0.18795E-09	0.777041446E-02	0.23301E-08	17.50395	1.06355	-0.51957	0.04959	2.35777	0.79264
252	0.02882	0.02190	-0.122709898E-02	0.32731E-09	0.457082409E-02	0.45585E-09	20.43055	2.26569	-1.30198	0.16958	-1.07004	0.88428
253	0.08259	0.02457	0.623550359E-02	0.29956E-08	-0.118733442E-02	0.43770E-08	63.37354	1.45110	2.35818	0.07130	-2.31254	0.89323
254	0.01640	0.03595	-0.123318995E-02	0.11636E-09	0.449420139E-02	0.90962E-09	8.33919	3.83765	0.20051	0.09530	0.24130	0.85234
255	0.03285	0.01690	-0.128838583E-02	0.19117E-09	0.413309271E-02	0.11151E-08	20.49545	1.87493	0.07588	0.02712	0.31209	0.79097
256	0.02913	0.01999	-0.110878830E-02	0.10035E-09	0.782150030E-02	0.91004E-09	10.91775	1.24115	-1.16446	0.14580	0.22743	0.68471
257	0.03504	0.03855	-0.114625331E-02	0.16398E-08	0.795557536E-02	0.21864E-08	55.91085	2.31521	2.75912	0.12269	0.96310	0.79433
258	0.05905	0.04844	0.410069758E-02	0.12108E-08	-0.118963420E-02	0.15043E-07	46.39945	4.78630	1.38709	0.11570	2.28024	1.20807
259	0.12853	0.04523	0.555707328E-02	0.96501E-09	-0.106401509E-02	0.15123E-07	34.65524	3.33673	2.15726	0.23231	2.60631	1.24569
260	0.12126	0.01431	-0.108648348E-02	0.19500E-09	0.931409933E-02	0.25874E-08	14.98298	0.70796	0.36125	0.03395	-0.68415	0.91472
261	0.10704	0.04627	-0.113339687E-02	0.15168E-07	0.628260244E-02	0.98209E-08	60.85273	2.69354	0.04182	0.12693	6.21773	1.50612
262	0.06174	0.05032	-0.109392416E-02	0.14986E-07	0.417473214E-02	0.13360E-07	62.57394	4.27301	-1.18636	0.17378	-0.50379	1.45201
263	0.13038	0.02361	-0.106008956E-02	0.15994E-08	0.839944836E-02	0.56106E-08	27.41333	1.24007	0.50264	0.09662	-0.03615	1.38500
264	0.12909	0.01678	-0.102526310E-02	0.72842E-09	0.957569387E-02	0.39553E-08	32.91197	0.76685	3.06701	0.06667	2.07416	1.02518
265	0.06601	0.01735	-0.113659829E-02	0.35158E-09	0.702195568E-02	0.18158E-08	20.63661	1.15461	0.03042	0.03977	-0.22055	0.94870
266	0.06669	0.01654	-0.119286682E-02	0.19769E-09	0.457704114E-02	0.25247E-08	11.52251	1.62651	0.46861	0.06196	-0.61449	1.05105
267	0.03533	0.01590	-0.128932297E-02	0.19177E-09	0.403828593E-02	0.11161E-08	19.89202	1.79142	0.21944	0.03396	-2.60636	0.80413
268	0.07364	0.04108	0.484599685E-02	0.32015E-08	-0.117140228E-02	0.15084E-07	54.73619	3.02403	0.69464	0.14245	-0.77154	1.33115
269	0.09135	0.01918	-0.108508440E-02	0.18807E-09	0.819549710E-02	0.62603E-08	6.52851	1.08616	-0.00752	0.04684	-0.68884	1.00456
270	0.07528	0.00891	-0.119482621E-02	0.19249E-09	0.487752492E-02	0.10946E-08	22.46651	0.75985	-0.05330	0.02254	0.37567	0.76229
271	0.15461	0.00617	-0.104361249E-02	0.19802E-09	0.447480753E-02	0.41348E-09	-5.71311	0.59416	0.86068	0.04970	0.33043	1.10835
272	0.04237	0.02079	0.447725644E-02	0.13369E-08	-0.121696503E-02	0.14867E-08	45.20713	1.98489	-4.22391	0.20982	1.81102	0.96527
273	0.14008	0.00688	-0.106908102E-02	0.19901E-09	0.489538535E-02	0.10130E-08	-1.48115	0.60013	0.66473	0.04283	0.27251	1.10269
274	0.04913	0.01836	-0.113349897E-02	0.11740E-09	0.708039058E-02	0.15993E-08	10.30480	1.24791	0.18773	0.03145	-0.23491	0.85183
275	0.09093	0.01228	-0.108146365E-02	0.10212E-09	0.918469299E-02	0.15840E-08	11.65217	0.62059	-1.20047	0.07155	-0.16024	0.75126
276	0.05206	0.02946	-0.115792220E-02	0.43783E-08	0.545629207E-02	0.32556E-08	64.97077	2.16285	2.78279	0.10263	-3.44769	0.86545
277	0.15227	0.00693	-0.100819918E-02	0.19999E-09	0.628248556E-02	0.75765E-09	1.45221	0.48616	0.76478	0.04014	-1.48695	1.04553
278	0.09815	0.00642	-0.117750536E-02	0.19066E-09	0.412477879E-02	0.50920E-09	3.21237	0.66827	0.49437	0.03541	-0.78631	0.91298
279	0.10436	0.02493	-0.108619838E-02	0.66453E-09	0.797670893E-02	0.67626E-08	24.32164	1.40643	-1.73034	0.13089	-1.31823	1.22510
280	0.06077	0.01601	-0.114524364E-02	0.19350E-09	0.642793905E-02	0.20287E-08	19.94036	1.15279	0.18458	0.02719	-0.32703	0.82031
